task	act	H	depth	seed	method	float_acc	quant_acc	best_acc_int8
XOR	ReLU	32	1	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	C19_rho8	32	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	2	42	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	A_std_backprop	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	B_greedy_only	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
XOR	ReLU	32	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	42	B_greedy_only	0.8000	0.8000	0.8000
ADD4	C19_rho8	16	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	42	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	C19_rho8	16	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	123	B_greedy_only	0.7200	0.7200	0.7200
ADD4	C19_rho8	16	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	123	D_greedy+bp_last	0.8400	0.8400	0.8400
ADD4	C19_rho8	16	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	7	B_greedy_only	0.8800	0.8800	0.8800
ADD4	C19_rho8	16	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	1	7	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	42	B_greedy_only	0.8800	0.8800	0.8800
ADD4	ReLU	16	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	42	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	123	B_greedy_only	0.8400	0.8400	0.8400
ADD4	ReLU	16	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	123	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	7	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	16	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	42	B_greedy_only	0.7200	0.7200	0.7200
ADD4	C19_rho8	16	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	42	D_greedy+bp_last	0.8400	0.8400	0.8400
ADD4	C19_rho8	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	123	B_greedy_only	0.7200	0.7200	0.7200
ADD4	C19_rho8	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	123	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	C19_rho8	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	7	B_greedy_only	0.8000	0.8000	0.8000
ADD4	C19_rho8	16	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	16	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	42	B_greedy_only	0.8800	0.8800	0.8800
ADD4	ReLU	16	2	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	42	D_greedy+bp_last	0.9600	0.9600	0.9600
ADD4	ReLU	16	2	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	123	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	16	2	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	7	B_greedy_only	0.9200	0.9200	0.9200
ADD4	ReLU	16	2	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	ReLU	16	2	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	42	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	42	B_greedy_only	0.9200	0.9200	0.9200
ADD4	C19_rho8	32	1	42	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	42	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	123	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	123	B_greedy_only	0.8800	0.8800	0.8800
ADD4	C19_rho8	32	1	123	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	123	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	A_std_backprop	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	B_greedy_only	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	C_greedy+bp_all	1.0000	1.0000	1.0000
ADD4	C19_rho8	32	1	7	D_greedy+bp_last	1.0000	1.0000	1.0000
ADD4	ReLU	32	1	42	A_std_backprop	1.0000	1.0000	1.0000
